"Имя","Категории","Описание","Краткое описание","Цена","Изображения","Изображения","Изображения","Артикул","video_youtube","pdf_instruction","tovar_articul_product","Значения атрибутов 1","Название атрибута 1","Название атрибута 2","Значения атрибутов 2","Название атрибута 3","Значения атрибутов 3","Название атрибута 4","Значения атрибутов 4","Название атрибута 5","Значения атрибутов 5","Название атрибута 6","Значения атрибутов 6","Название атрибута 7","Значения атрибутов 7","Название атрибута 8","Значения атрибутов 8","Название атрибута 9","Значения атрибутов 9","Название атрибута 10","Значения атрибутов 10","Название атрибута 11","Значения атрибутов 11","Название атрибута 12","Значения атрибутов 12","Название атрибута 13","Значения атрибутов 13","Название атрибута 14","Значения атрибутов 14","Название атрибута 15","Значения атрибутов 15","Название атрибута 16","Значения атрибутов 16","Название атрибута 17","Значения атрибутов 17","Название атрибута 18","Значения атрибутов 18","Название атрибута 19","Значения атрибутов 19","Название атрибута 20","Значения атрибутов 20","Название атрибута 21","Значения атрибутов 21","Название атрибута 22","Значения атрибутов 22"
"Защитные чехлы на сидение Spanesi Spanesi  арт. SP781041","Покрасочное-кузовное > Инструмент и аксессуары","
			Упаковка - 400 шт
Толщина материала 20 мк","Защитные чехлы на сидение Spanesi",24440,"https://www.mkslift.ru/images/products/s_1200/1027_5Xpvf3xC4g.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","SP781041",,,,"Spanesi (Италия)","Бренд","Гарантия","12 мес.","Длина","700 мм.","Ширина","1650 мм.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пресс 10 т. настольный с ручным приводом KraftWell  арт. KRWPR10B","Общегаражное > Прессы","
			В любом автосервисе, автомастерской или даже гараже постоянно требуется проведение операции по выпрессовке/запрессовке таких деталей, как ступичный подшипник или сайлентблоки рычагов. Ранее проведение данной операции вручную требовало значительных трудовых и временных затрат. С появлением гидравлических прессов этот трудоемкий процесс значительно упростился и стал безопаснее, а широкая линейка прессов с различным максимальным усилием позволяет подобрать наиболее подходящий для выполнения тех или иных задач.
Принцип работы гидравлического пресса заключается в создании давления гидравлического масла в рабочем цилиндре при помощи насоса. Создаваемое насосом давление перемещает шток цилиндра в вертикальной плоскости, который в свою очередь давит на деталь, расположенную между штоком и рабочим столом. Усилие, с которым давит шток контролируется по манометру, установленному на гидроцилиндре.
Несмотря на общий принцип работы, гидравлические прессы имеют три основных различия:

    Максимально развиваемое 	усилие
    Тип корпуса – 	настольный, напольный
    Привод насоса – 	ручной, ножной, пневмогидравлический, 	электрогидравлический

Гидравлические прессы KRAFTWELL, в отличие от более дешевых аналогов, изготавливаются на современном и высокоточном оборудовании одного из ведущих заводов в Китае и исключительно из высококачественных материалов в соответствии с европейскими нормами безопасности и стандартами качества, что гарантирует длительный период эксплуатации и безопасность при работе. Качество подтверждено сертификатами EAC и CE. 
 
Пресс KRWPR10B с ручным приводом обладает следующими особенностями:

    Максимальное развиваемое усилие – 10 тонн
    Ручной гидравлический насос с предохранительным клапаном
    Полностью сварной корпус рамы настольного типа
    Регулируемый по высоте рабочий стол
    Перемещение цилиндра в горизонтальной плоскости
    Манометр, заполненный глицерином
    V-образные блоки
    Индикатор крайнего положения штока
    Хромированная поверхность штока
    Автоматический возврат штока после сброса давления","Пресс 10 т. настольный с ручным приводом",23790,"https://www.mkslift.ru/images/products/s_1200/10351_sxGRyyx2ew.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","KRWPR10B","https://www.youtube.com/embed/MRHl3NN893g?si=KjLQHUj483re63jY"," ","T943, KRWHP10, KRWPR10CYL, KRWPR10Kit, HANDLE, KRWPR10-S14, KRWPR10TG10","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","настольный","Привод","ручной","Усилие","10 т","Упак. размеры","800/260/210 Д/Ш/В, мм","Вес брутто","51 кг.","Кол-во мест","1 шт.","Категория","Прессы","Цвет","серый","Вертик. ход до","180 мм.","Высота деталей до","340 мм.","Ширина рабочая макс.","335 мм.",,,,,,,,,,,,,,,,,,
"Пресс 10 т. с ручным приводом KraftWell  арт. KRWPR10","Общегаражное > Прессы",,"Пресс 10 т. с ручным приводом",28025,"https://www.mkslift.ru/images/products/s_1200/10352_8a46YhvuEg.jpg","https://www.mkslift.ru/images/products/s_1200/10352_QZ7Tbnpu7e.jpg","https://www.mkslift.ru/images/products/s_300/10352_8a46YhvuEg.jpg","KRWPR10",," https://www.mkslift.ru/UserFiles/files/Part_List/KRWPR10_PR20_detail.pdf","T943, KRWHP10, KRWPR10CYL, KRWPR10Kit, KRWFP10, HANDLE, KRWPR10-S14, KRWPR10TG10","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","напольный","Привод","ручной","Усилие","10 т","Упак. размеры","1350/260/210 Д/Ш/В, мм","Вес брутто","72 кг.","Кол-во мест","1 шт.","Цвет","серый","Вертик. ход до","135 мм.","Высота деталей до","858 мм.","Ширина рабочая макс.","454 мм.",,,,,,,,,,,,,,,,,,,,
"Пресс 20 т. с ручным приводом KraftWell  арт. KRWPR20","Общегаражное > Прессы","
			В любом автосервисе, автомастерской или даже гараже постоянно требуется проведение операции по выпрессовке/запрессовке таких деталей, как ступичный подшипник или сайлентблоки рычагов. Ранее проведение данной операции вручную требовало значительных трудовых и временных затрат. С появлением гидравлических прессов этот трудоемкий процесс значительно упростился и стал безопаснее, а широкая линейка прессов с различным максимальным усилием позволяет подобрать наиболее подходящий для выполнения тех или иных задачи.
Принцип работы гидравлического пресса заключается в создании давления гидравлического масла в рабочем цилиндре при помощи насоса. Создаваемое насосом давление перемещает шток цилиндра в вертикальной плоскости, который в свою очередь давит на деталь, расположенную между штоком и рабочим столом. Усилие, с которым давит шток контролируется по манометру, установленному на гидроцилиндре.
Несмотря на общий принцип работы, гидравлические прессы имеют три основных различия:

    Максимально развиваемое 	усилие
    Тип корпуса – 	настольный, напольный
    Привод насоса – 	ручной, ножной, пневмогидравлический, 	электрогидравлический

Гидравлические прессы KRAFTWELL, в отличие от более дешевых аналогов, изготавливаются на современном и высокоточном оборудовании одного из ведущих заводов в Китае и исключительно из высококачественных материалов в соответствии с европейскими нормами безопасности и стандартами качества, что гарантирует длительный период эксплуатации и безопасность при работе. Качество подтверждено сертификатами EAC и CE. 
Пресс KRWPR20 с ручным приводом обладает следующими особенностями:

    Максимальное развиваемое усилие – 20 тонн
    Ручной гидравлический насос с предохранительным клапаном
    Быстросборный корпус рамы напольного типа
    Регулируемый по высоте рабочий стол
    Перемещение цилиндра в горизонтальной плоскости
    Манометр, заполненный глицерином
    V-образные блоки с ограничителями перемещения
    Возможность оснащения комплектом пуансонов (опция) - KRWPS
    Индикатор крайнего положения штока
    Хромированная поверхность штока
    Автоматический возврат штока после сброса давления
    Поставляется в одной фанерной коробке","Пресс 20 т. с ручным приводом",40375,"https://www.mkslift.ru/images/products/s_1200/10353_UFfQvGbt9W.jpg","https://www.mkslift.ru/images/products/s_1200/10353_vTn5ufN4VE.jpg, https://www.mkslift.ru/images/products/s_1200/10353_k6Se5grtZR.jpg, https://www.mkslift.ru/images/products/s_1200/10353_VVb5HAUMks.jpg, https://www.mkslift.ru/images/products/s_1200/10353_byWFZZyMg8.jpg, https://www.mkslift.ru/images/products/s_1200/10353_6r8DEt5ktz.jpg, https://www.mkslift.ru/images/products/s_1200/10353_s7Fcqwa5zN.jpg, https://www.mkslift.ru/images/products/s_1200/10353_E4k7Au7zvY.jpg, https://www.mkslift.ru/images/products/s_1200/10353_hXVRq4G9wn.jpg, https://www.mkslift.ru/images/products/s_1200/10353_exvGpKq5MA.jpg, https://www.mkslift.ru/images/products/s_1200/10353_xVZVwhMenm.jpg, https://www.mkslift.ru/images/products/s_1200/10353_XK32e8zm4D.jpg, https://www.mkslift.ru/images/products/s_1200/10353_mHtQdvxHsc.jpg, https://www.mkslift.ru/images/products/s_1200/10353_C2NBsFXw7f.jpg","https://www.mkslift.ru/assets/img/saleredribbon.png","KRWPR20","https://www.youtube.com/embed/tg75suRnF2s"," https://www.mkslift.ru/UserFiles/files/Part_List/KRWPR10_PR20_detail.pdf","T913, PRD20, PRD20_grey, KRWPR20Kit, KRWPR20Kit1, KRWFP20, KRWPR20Kit3, HANDLE, KRWPR20Kit2, KRWPR20TG20, KRWHP20, KRWPR20CYL","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Тип","напольный","Привод","ручной","Усилие","20 т","Упак. размеры","1630/270/240 Д/Ш/В, мм","Вес брутто","96,5 кг.","Кол-во мест","1 шт.","Категория","Прессы","Цвет","серый","Вертик. ход до","180 мм.","Высота деталей до","955 мм.","Ширина рабочая макс.","550 мм.",,,,,,,,,,,,,,,,,,
"Набор растяжек гидравлических 4 т. KraftWell  арт. KRWPH4","Покрасочное-кузовное > Инструмент и аксессуары",,"Набор растяжек гидравлических 4 т.",10900,"https://www.mkslift.ru/images/products/s_1200/10355_PsWA2kWPfz.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","KRWPH4",,,,"KraftWell (КНР)","Бренд","Гарантия","12 мес.","Усилие","4 т","Упак. размеры","600/320/180 Д/Ш/В, мм","Вес брутто","19 кг.","Кол-во мест","1 шт.","Категория","Инструмент и аксессуары","Цвет","серый",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Набор растяжек гидравлических 10 т. KraftWell  арт. KRWPH10","Покрасочное-кузовное > Инструмент и аксессуары","
			При проведении кузовного ремонта часто требуется выправить небольшие вмятины, не прибегая к помощи стапеля или аппарата точечной сварки. Лучшим решением в данном случае станет применение набора гидравлических растяжек KRWPH10 или, как его еще называют, рихтовочный комплект. Входящие в комплект насадки различной формы справятся с любым типом вмятин, а удлинители гидравлического цилиндра позволят без труда подобрать необходимую длину для доступа к точке, где требуется правка. Гидравлический насос развивает усилие 10 тонн, которого хватает, чтобы справиться с самыми сложными вмятинами. Комплект поставляется в удобном пластиковом кейсе. Все элементы изготовлены из высококачественных материалов.
Техническое оснащение комплекта KRWPH10:

    Гидравлический насос, развивающий усилие 10 тонн
    Гидравлический цилиндр прямого действия
    Гидравлическая насадка-распорка
    Комплект удлинителей из 4 штук
    Комплект насадок различной формы из 6 штук
    Адаптер-переходник
    Опорная площадка прямоугольной формы
    Пластиковый кейс для переноски","Набор растяжек гидравлических 10 т.",16150,"https://www.mkslift.ru/images/products/s_1200/10356_2pwZEfGndG.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","KRWPH10",,,"GC20","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Усилие","10 т","Упак. размеры","730/390/175 Д/Ш/В, мм","Вес брутто","30 кг.","Кол-во мест","1 шт.","Категория","Инструмент и аксессуары","Цвет","серый",,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Платформа подъемная передвижная с гидравлическим приводом, г/п 500 кг. KraftWell  арт. KRWLT5","Общегаражное > Кантователи и держатели двигателя и коробки передач",,"Платформа подъемная передвижная с гидравлическим приводом, г/п 500 кг.",42900,"https://www.mkslift.ru/images/products/s_1200/10358_vg5um5UUAc.jpg","https://www.mkslift.ru/images/products/s_1200/10358_6fvp7vUmU9.jpg","https://www.mkslift.ru/assets/img/saleredribbon.png","KRWLT5",," https://www.mkslift.ruhttps://www.mkslift.ru/UserFiles/files/Part_List/KRW/KRWLT5.pdf","ME-650, KRWLT5Kit, KRWLT5-S124, KRWLT5-S118","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Г/п","500 кг.","Тип","стол","Привод","ручной","Клиренс","280 мм.","Упак. размеры","925/580/280 Д/Ш/В, мм","Вес брутто","78 кг.","Кол-во мест","1 шт.","Категория","Кантователи и держатели двигателя и коробки передач","Длина","840 мм.","Ширина","510 мм.","Цвет","серый","Подъем до","880 мм.",,,,,,,,,,,,,,,,
"Стойка гидравлическая г/п 500 кг. KraftWell  арт. KRWTJ5","Общегаражное > Стойки, платы трансмиссионные","
			Трансмиссионная гидравлическая стойка имеет широкое применение. Без нее не обходится ни один автосервис. При помощи трансмиссионной стойки можно проводить такие операции как, снятие/установка коробок передач, элементов выхлопной системы, защиты поддона картера и многие другие. Небольшие габариты позволяют удобно хранить стойку в то время, когда она не используется, при этом не занимая много места.
Грузоподъемность трансмиссионной стойки KRWTJ5 составляет 500 кг, а шток гидроцилиндра поднимается на высоту 1900 мм, что позволяет использовать стойку даже в яме. Для безопасной работы не допускается перемещение стойки по цеху с установленным на ней грузом в полностью поднятом состоянии.
Трансмиссионные стойки KRAFTWELL, в отличие от более дешевых аналогов, изготавливаются на современном и высокоточном оборудовании одного из ведущих заводов в Китае и исключительно из высококачественных материалов в соответствии с европейскими нормами безопасности и стандартами качества, что гарантирует длительный период эксплуатации и безопасность при работе. Качество подтверждено сертификатами EAC и CE.
Особенности:

    Гидравлический насос с ножным приводом
    Резиновая накладка на педаль предотвращает соскальзывание ноги
    Опускание поворотной рукояткой
    Хромированная поверхность гидроцилиндра
    Предохранительный клапан защиты от перегрузки
    Устойчивая опорная площадка на 4-х поворотных колесах
    Удобные ручки с двух сторон для перемещения по цеху","Стойка гидравлическая г/п 500 кг.",14900,"https://www.mkslift.ru/images/products/s_1200/10359_ZNEPFQyVTM.jpg",,"https://www.mkslift.ru/assets/img/saleredribbon.png","KRWTJ5","https://www.youtube.com/embed/t0pTWGvPZqk","  https://www.mkslift.ru/UserFiles/files/Part_List/KRWTJ5_detail.pdf","KRWTP, KRWOD-A, KRWTJ5Kit, KRWTJ5WHE, KRWTJ-S33, KRWTJ5CYL","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Г/п","500 кг.","Тип","Стойка","Упак. размеры","1090/230/240 Д/Ш/В, мм","Вес брутто","30 кг.","Кол-во мест","1 шт.","Категория","Стойки, платы трансмиссионные","Цвет","серый","Подъем до","1900 мм.","Подъем от","1000 мм.",,,,,,,,,,,,,,,,,,,,,,
"Кран складной г/п 1000 кг. KraftWell  арт. KRWC1","Общегаражное > Кран-гуси","
			
В ежедневной работе любого автосервиса часто приходится перемещать с места на место или снимать и устанавливать на автомобиль тяжелые агрегаты, такие как двигатель и коробка переключения передач. Для осуществления этой операции требуется подъемный механизм с высокой грузоподъемностью. Одним из наиболее распространенных и удобных механизмов является гидравлический гаражный кран.
Наиболее важными факторами при выборе гаражного крана считаются его грузоподъемность, устойчивость, надежность конструкции, а также удобство работы.
Гидравлический гаражный кран KRAFTWELL, модель KRWC1 максимальной грузоподъемностью 1000 кг имеет выдвижную стрелу, вылет которой регулируется путем ее перемещения вперед и назад с последующей фиксацией в одном из четырех положений. Каждому положению стрелы соответствует своя грузоподъемность, указанная на неподвижной части стрелы. Отличительной особенностью и главным конкурентным преимуществом крана KRWC1 является двухтактный гидравлический насос, работающий на подъем стрелы при движении рукоятки как вверх, так и вниз. Это обеспечивает увеличенную скорость и эффективность подъема по сравнению с аналогичными кранами, оснащенными однотактными насосами. Предохранительный клапан, встроенный в насос, защищает от превышения максимальной нагрузки. Тем самым исключается выход из строя насоса, при попытке поднять груз весом, превышающим максимально возможный. Максимальная высота подъема при полностью выдвинутой стреле составляет 2 метра 32 сантиметра. Конструкция основания крана имеет поворотные колеса, что делает его маневренным. Высота основания 180 мм позволяет закатить кран под кузов максимально близко к автомобилю. В сложенном состоянии кран не занимает много места, обеспечивая удобство его хранения в нерабочем состоянии.
 
Конструктивные и функциональные особенности крана KRWC1:

    Максимальная грузоподъемность 1000 кг.
    Двухтактный насос экономит время и усилия механика при работе
    Выдвижная стрела с фиксацией в 4-х возможных положениях и отображением грузоподъемности
    Надежное, устойчивое и маневренное основание с 6-ю поворотными колесами
    Складная конструкция позволяет экономить место при хранении крана
    Клапан-ограничитель нагрузки обеспечивает долгую службу и безопасность при работе","Кран складной г/п 1000 кг. двухтактный",22384,"https://www.mkslift.ru/images/products/s_1200/10360_73BBFShdYy.jpg","https://www.mkslift.ru/images/products/s_1200/10360_WRQMpyfRug.jpg, https://www.mkslift.ru/images/products/s_1200/10360_SveevDKzhD.jpg, https://www.mkslift.ru/images/products/s_1200/10360_emfg6mCWrc.jpg, https://www.mkslift.ru/images/products/s_1200/10360_hc2xXF46x8.jpg, https://www.mkslift.ru/images/products/s_1200/10360_6EtDtkKRyG.jpg, https://www.mkslift.ru/images/products/s_1200/10360_u8gEMRCbyf.jpg, https://www.mkslift.ru/images/products/s_1200/10360_bKxUSTcnV3.jpg, https://www.mkslift.ru/images/products/s_1200/10360_ec9gb9GUpY.jpg, https://www.mkslift.ru/images/products/s_1200/10360_GPmCZcaN4Y.jpg, https://www.mkslift.ru/images/products/s_1200/10360_FAzx8GsynZ.jpg, https://www.mkslift.ru/images/products/s_1200/10360_B7qa2vwV2R.jpg","https://www.mkslift.ru/assets/img/saleredribbon.png","KRWC1","https://www.youtube.com/embed/Mvm_0GNbTOM?si=mqZeoZn3BX-LPyKw",,"KRWEL, KRWC2DCYL, KRWC3DCYL, KRWC1DCYL, KRWC1Kit, KRWC1C2WHE3, KRWC1C2WHE3.5, KRWC1CYL, KRWC2CYL","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Г/п","1000 кг.","Тип","складной","Упак. размеры","1395/320/155+740/540/90 Д/Ш/В, мм","Вес брутто","68 кг.","Кол-во мест","2 шт.","Категория","Кран-гуси","Цвет","серый","Подъем до","2320 мм.",,,,,,,,,,,,,,,,,,,,,,,,
"Кран складной г/п 2000 кг. KraftWell  арт. KRWC2","Общегаражное > Кран-гуси","
			В ежедневной работе любого автосервиса часто приходится перемещать с места на место или снимать и устанавливать на автомобиль тяжелые агрегаты, такие как двигатель и коробка переключения передач. Для осуществления этой операции требуется подъемный механизм с высокой грузоподъемностью. Одним из наиболее распространенных и удобных механизмов является гидравлический гаражный кран.
Наиболее важными факторами при выборе гаражного крана считаются его грузоподъемность, устойчивость, надежность конструкции, а также удобство работы.
Гидравлический гаражный кран KRAFTWELL, модель KRWC2 максимальной грузоподъемностью 2000 кг имеет выдвижную стрелу, вылет которой регулируется путем ее перемещения вперед и назад с последующей фиксацией в одном из четырех положений. Каждому положению стрелы соответствует своя грузоподъемность, указанная на неподвижной части стрелы. Отличительной особенностью и главным конкурентным преимуществом крана KRWC2 является двухтактный гидравлический насос, работающий на подъем стрелы при движении рукоятки как вверх, так и вниз. Это обеспечивает увеличенную скорость и эффективность подъема по сравнению с аналогичными кранами, оснащенными однотактными насосами. Предохранительный клапан, встроенный в насос, защищает от превышения максимальной нагрузки. Тем самым исключается выход из строя насоса, при попытке поднять груз весом, превышающим максимально возможный. Максимальная высота подъема при полностью выдвинутой стреле составляет 2 метра 38 сантиметров. Конструкция основания крана имеет поворотные колеса, что делает его маневренным. Высота основания 180 мм позволяет закатить кран под кузов максимально близко к автомобилю. В сложенном состоянии кран не занимает много места, обеспечивая удобство его хранения в нерабочем состоянии.
 
Конструктивные и функциональные особенности крана KRWC2:

    Максимальная грузоподъемность 2000 кг
    Двухтактный насос экономит время и усилия механика при работе
    Выдвижная стрела с фиксацией в 4-х возможных положениях и отображением грузоподъемности
    Надежное, устойчивое и маневренное основание с 6-ю поворотными колесами
    Складная конструкция позволяет экономить место при хранении крана
    Клапан-ограничитель нагрузки обеспечивает долгую службу и безопасность при работе
    Ремкомплект цилиндра в стандартной комплектации","Кран складной г/п 2000 кг. двухтактный",25500,"https://www.mkslift.ru/images/products/s_1200/10361_SRh588mP9S.jpg","https://www.mkslift.ru/images/products/s_1200/10361_x4UpuFtz32.jpg, https://www.mkslift.ru/images/products/s_1200/10361_WtxfZ9Ywz2.jpg, https://www.mkslift.ru/images/products/s_1200/10361_YvvFMAfPaN.jpg, https://www.mkslift.ru/images/products/s_1200/10361_tTz9S4BRxR.jpg, https://www.mkslift.ru/images/products/s_1200/10361_Dz476ZN4Q4.jpg, https://www.mkslift.ru/images/products/s_1200/10361_sNPdRPgvW6.jpg, https://www.mkslift.ru/images/products/s_1200/10361_f4DzkypPuQ.jpg","https://www.mkslift.ru/assets/img/saleredribbon.png","KRWC2","https://www.youtube.com/embed/qQm41y8XQy4",,"KRWEL, KRWC2DCYL, KRWC3DCYL, KRWC2Kit, KRWC1DCYL, KRWC1Kit, KRWC1C2WHE3.5, KRWC1CYL, KRWC2CYL","KraftWell (КНР)","Бренд","Гарантия","12 мес.","Г/п","2000 кг.","Тип","складной","Упак. размеры","1385/305/145+830/575/80 Д/Ш/В, мм","Вес брутто","78 кг.","Кол-во мест","2 шт.","Категория","Кран-гуси","Вес","80 кг.","Цвет","серый","Подъем до","2380 мм.",,,,,,,,,,,,,,,,,,,,,,
