"Имя","Категории","Описание","Краткое описание","Цена","Изображения","Артикул","video_youtube","pdf_instruction","tovar_articul_product","Название атрибута 1","Значения атрибутов 1","Название атрибута 2","Значения атрибутов 2","Название атрибута 3","Значения атрибутов 3","Название атрибута 4","Значения атрибутов 4","Название атрибута 5","Значения атрибутов 5","Название атрибута 6","Значения атрибутов 6","Название атрибута 7","Значения атрибутов 7","Название атрибута 8","Значения атрибутов 8","Название атрибута 9","Значения атрибутов 9","Название атрибута 10","Значения атрибутов 10","Название атрибута 11","Значения атрибутов 11","Название атрибута 12","Значения атрибутов 12","Название атрибута 13","Значения атрибутов 13","Название атрибута 14","Значения атрибутов 14","Название атрибута 15","Значения атрибутов 15","Название атрибута 16","Значения атрибутов 16","Название атрибута 17","Значения атрибутов 17","Название атрибута 18","Значения атрибутов 18","Название атрибута 19","Значения атрибутов 19","Название атрибута 20","Значения атрибутов 20","Название атрибута 21","Значения атрибутов 21","Название атрибута 22","Значения атрибутов 22"
"Шкив одноручьвой KraftWell  арт. KRW8WA-S30","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",3325,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S30",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ось шкива KraftWell  арт. KRW8WA-S33","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",1900,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S33",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Шкив двухручьевой KraftWell  арт. KRW8WA-S37","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",5225,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S37",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Трос силовой KraftWell  арт. KRW8WA-S2","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",12350,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S2",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пневмоклапан KraftWell  арт. KRW8WA-S22","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",2375,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S22",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Электропневмоклапан KraftWell  арт. KRW8WA-SYA","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",4750,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-SYA",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Соленоид  KraftWell  арт. KRW8WA-SYV","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",11960,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-SYV",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Ремкомплект гидроцилиндра KraftWell  арт. KRW8WA-Skit","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",8550,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-Skit",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Подшипник шариковый KraftWell  арт. KRW8WA-S28","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",950,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S28",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Гидростанция в сборе 380в KraftWell  арт. KRW8WA-S78","Запасные части > Запчасти KRAFTWELL > Подъемники",,"KRW8WA",38000,"https://www.mkslift.ru/images/gayka200.jpg","KRW8WA-S78",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Подъемники",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Фильтр тонкой очистки (вода-масло) KraftWell  арт. KRWN2-Filtr","Запасные части > Запчасти KRAFTWELL > Кондиционерные станции",,"KRWN2-35",1710,"https://www.mkslift.ru/images/gayka200.jpg","KRWN2-Filtr",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Общегаражное оборудование",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Плата управления  KraftWell  арт. KRWN2-CB","Запасные части > Запчасти KRAFTWELL > Кондиционерные станции",,"KRWN2-35",9025,"https://www.mkslift.ru/images/gayka200.jpg","KRWN2-CB",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Общегаражное оборудование",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Манометр KraftWell  арт. KRWN2-PG","Запасные части > Запчасти KRAFTWELL > Кондиционерные станции",,"KRWN2-35",1853,"https://www.mkslift.ru/images/gayka200.jpg","KRWN2-PG",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Общегаражное оборудование",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Пневмоклапан KraftWell  арт. KRWN2-Val","Запасные части > Запчасти KRAFTWELL > Кондиционерные станции",,"KRWN2-35",2090,"https://www.mkslift.ru/images/gayka200.jpg","KRWN2-Val",,,,"Бренд","KraftWell (КНР)","Гарантия","12 мес.","Категория","Общегаражное оборудование",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
